head,tail,relation
可待因桔梗片,可待因桔梗,contain
门冬氨酸洛美沙星注射液,洛美沙星,contain
盐酸左氧氟沙星胶囊,左氧氟沙星,contain
甲磺酸培氟沙星软膏,培氟沙星,contain
萘丁美酮片,萘丁美酮,contain
硝酸咪康唑软膏,硝酸咪康唑,contain
盐酸美西律片,盐酸美西律,contain
鱼腥草素钠片,鱼腥草素钠,contain
头孢拉定干混悬剂,头孢拉定,contain
硝苯地平胶囊,硝苯地平,contain
盐酸利多卡因注射液,盐酸利多卡因,contain
盐酸多西环素片,盐酸多西环素,contain
硝苯地平胶囊,硝苯地平,contain
盐酸洛贝林注射液,盐酸洛贝林,contain
盐酸苯海拉明注射液,盐酸苯海拉明,contain
盐酸肾上腺素注射液,盐酸肾上腺素,contain
盐酸胺碘酮胶囊,盐酸胺碘酮,contain
利血平片,利血平,contain
硫酸异丙肾上腺素注射液,异丙肾上腺素,contain
甲氧氯普胺片,甲氧氯普胺,contain
氢溴酸高乌甲素片,氢溴酸高乌甲素,contain
硫酸奎尼丁片,硫酸奎尼丁,contain
羟甲香豆素片,羟甲香豆素,contain
亚硝酸异戊酯吸入剂,亚硝酸异戊酯,contain
甲酚皂溶液,甲酚皂,contain
吲哚美辛栓,吲哚美辛,contain
龙胆碳酸氢钠片,碳酸氢钠,contain
盐酸金霉素软膏,金霉素,contain
沙丁胺醇气雾剂,沙丁胺醇,contain
盐酸苯乙双胍片,盐酸苯乙双胍,contain
联苯双酯滴丸,联苯双酯,contain
甲氧氯普胺片,甲氧氯普胺,contain
注射用硫酸长春新碱,硫酸长春新碱,contain
口服补液盐Ⅰ,葡萄糖,contain
棕榈氯霉素（B型）片,棕榈氯霉素（B型）,contain
乙酰唑胺片,乙酰唑胺,contain
利可君片,利可君,contain
磷酸川芎嗪片,磷酸川芎嗪,contain
曲安奈德新霉素贴膏,曲安奈德新霉素,contain
维生素E烟酸酯胶囊,维生素E烟酸酯,contain
小儿复方磺胺甲噁唑颗粒,磺胺甲噁唑,contain
盐酸三氟哌多片,盐酸三氟哌多,contain
磷酸川芎嗪胶囊,磷酸川芎嗪,contain
水杨酸冰醋酸溶液,水杨酸,contain
三尖杉酯碱注射液,三尖杉酯碱,contain
月见草油胶丸,月见草油,contain
注射用纤溶酶,纤溶酶,contain
口服五维葡萄糖,五维葡萄糖,contain
氢化可的松新霉素滴耳液,新霉素,contain
盐酸赖氨酸散,盐酸赖氨酸,contain
牛磺酸颗粒,牛磺酸,contain
磷霉素钙片,磷霉素,contain
盐酸地芬尼多片,地芬尼多,contain
氯化钙溴化钠注射液,氯化钙,contain
头孢氨苄甲氧苄啶片,头孢氨苄甲氧苄啶,contain
愈美甲麻敏糖浆,甲基麻黄碱,contain
盐酸溴己新片,盐酸溴己新,contain
芦丁片,芦丁,contain
葡萄糖酸钙片,葡萄糖酸钙,contain
维生素B2片,维生素B2,contain
盐酸苯海拉明片,盐酸苯海拉明,contain
注射用氢化可的松琥珀酸钠,琥珀酸钠,contain
盐酸苯海拉明注射液,盐酸苯海拉明,contain
水杨酸软膏,水杨酸,contain
硝酸异山梨酯片,硝酸异山梨酯,contain
盐酸川芎嗪注射液,盐酸川芎嗪,contain
尼可刹米注射液,尼可刹米,contain
输血用枸橼酸钠注射液,枸橼酸钠,contain
水杨酸苯酚贴膏,水杨酸,contain
氨咖甘片,氨基比林,contain
盐酸阿普林定片,盐酸阿普林定,contain
苏菲咳糖浆,苏菲咳,contain
愈创甘油醚颗粒,愈创甘油醚,contain
马来酸氯苯那敏片,马来酸氯苯那敏,contain
注射用两性霉素B,两性霉素B,contain
盐酸乙胺丁醇胶囊,盐酸乙胺丁醇,contain
盐酸可乐定片,盐酸可乐定,contain
诺氟沙星滴眼液,诺氟沙星,contain
门冬氨酸钾镁口服溶液,门冬氨酸,contain
腺苷钴胺片,腺苷钴胺,contain
注射用乳糖酸红霉素,乳糖酸红霉素,contain
灭菌结晶磺胺,灭菌结晶磺胺,contain
尼可刹米注射液,尼可刹米,contain
已烯雌酚片,已烯雌酚,contain
注射用头孢唑林钠,头孢唑林钠,contain
溴丙胺太林片,溴丙胺太林,contain
葡萄糖注射液,葡萄糖,contain
盐酸金霉素眼膏,金霉素,contain
樟脑磺酸钠注射液,樟脑磺酸钠,contain
盐酸氯哌丁片,盐酸氯哌丁,contain
头孢氨苄片,头孢氨苄,contain
硝酸甘油片,硝酸甘油,contain
鞣酸蛋白片,鞣酸蛋白,contain
青霉素V钾片,青霉素V钾,contain
维生素C片,维生素C,contain
硫酸庆大霉素颗粒,硫酸庆大霉素,contain
甲睾酮片,甲睾酮,contain
四环素软膏,四环素,contain
硫酸核糖霉素注射液,硫酸核糖霉素,contain
氢化可的松新霉素滴耳液,氢化可的松,contain
氢化可的松新霉素滴耳液,新霉素,contain
口服五维葡萄糖,五维葡萄糖,contain
氨咖甘片,甘油磷酸钙,contain
维生素BT片,维生素BT,contain
利福平滴眼液,利福平,contain
盐酸海索那林片,盐酸海索那林,contain
盐酸托哌酮片,盐酸托哌酮,contain
小儿复方磺胺甲噁唑颗粒,甲氧苄啶,contain
三维葡磷钙咀嚼片,三维葡磷钙,contain
小儿复方氨酚烷胺片,对乙酰氨基酚,contain
蹄甲多肽片,蹄甲多肽,contain
庆大霉素甲氧苄啶注射液,庆大霉素,contain
葡萄糖酸钙维D2散,维生素D2,contain
复方熊胆薄荷含片,熊胆薄荷,contain
樟脑薄荷柳酯乳膏,樟脑,contain
小儿氨酚黄那敏片,对乙酰氨基酚,contain
硫酸庆大霉素颗粒,硫酸庆大霉素,contain
盐酸萘甲唑啉滴鼻液,盐酸萘甲唑啉,contain
盐酸左旋咪唑栓,盐酸左旋咪唑,contain
注射用环磷酰胺,环磷酰胺,contain
口服补液盐Ⅰ,氯化钠,contain
维生素B1片,维生素B1,contain
胃蛋白酶片,胃蛋白酶,contain
注射用阿莫西林钠,阿莫西林,contain
注射用硫酸长春新碱,硫酸长春新碱,contain
维生素B1片,维生素B1,contain
去痛片,氨基比林,contain
四环素软膏,四环素,contain
右旋糖酐40氯化钠注射液,氯化钠,contain
盐酸金霉素软膏,金霉素,contain
土霉素片,土霉素,contain
吲哚美辛胶囊,吲哚美辛,contain
盐酸小檗碱片,盐酸小檗碱,contain
四环素片,四环素,contain
维生素B6片,维生素B6,contain
重酒石酸去甲肾上腺素注射液,重酒石酸去甲肾上腺素,contain
四环素片,四环素,contain
异烟肼片,异烟肼,contain
右旋糖酐40氯化钠注射液,右旋糖酐38,contain
氯化钠注射液,氯化钠,contain
维生素B12片,维生素B12,contain
硫酸亚铁片,枸橼酸,contain
口服维D2葡萄糖,葡萄糖,contain
三维葡磷钙咀嚼片,三维葡磷钙,contain
注射用辅酶A,辅酶A,contain
牡蛎碳酸钙胶囊,牡蛎碳酸钙,contain
维磷葡钙片,维磷葡钙,contain
天麻素片,天麻素,contain
复方王不留行片,王不留行,contain
复方熊胆薄荷含片,熊胆薄荷,contain
氯唑沙宗片,氯唑沙宗,contain
氯芬黄敏片,马来酸氯苯那敏,contain
复方熊胆薄荷含片,熊胆薄荷,contain
羟乙基淀粉40氯化钠注射液,氯化钠,contain
替加氟片,替加氟,contain
联磺甲氧苄啶片,磺胺甲噁唑,contain
联磺甲氧苄啶片,甲氧苄啶,contain
利巴韦林滴眼液,利巴韦林,contain
联磺甲氧苄啶片,磺胺甲噁唑,contain
利福平胶囊,利福平,contain
吲哚美辛栓,吲哚美辛,contain
消旋山莨菪碱片,消旋山莨菪碱,contain
葡萄糖酸钙注射液,葡萄糖酸钙,contain
米格来宁片,咖啡因,contain
氯霉素片,氯霉素,contain
乙酰水杨酸肠溶片,乙酰水杨酸肠溶,contain
盐酸倍他司汀氯化钠注射液,氯化钠,contain
盐酸奥昔非君片,盐酸奥昔非君,contain
小儿大黄碳酸氢钠片,大黄粉,contain
盐酸倍他司汀注射液,盐酸倍他司汀,contain
硫酸核糖霉素注射液,硫酸核糖霉素,contain
尼美舒利片,尼美舒利,contain
白芍总苷胶囊,白芍总苷,contain
盐酸洛美沙星片,洛美沙星,contain
叶酸片,叶酸,contain
盐酸氟桂利嗪片,盐酸氟桂利嗪,contain
胶体果胶铋胶囊,胶体果胶铋,contain
对乙酰氨基酚混悬液,对乙酰氨基酚,contain
美愈伪麻胶囊,美愈伪麻,contain
注射用他唑巴坦钠/哌拉西林钠,哌拉西林钠,contain
泮托拉唑钠肠溶胶囊,泮托拉唑钠肠溶,contain
盐酸左氧氟沙星胶囊,左氧氟沙星,contain
盐酸二甲双胍胶囊,盐酸二甲双胍,contain
头孢羟氨苄颗粒,头孢羟氨苄,contain
枸橼酸铋雷尼替丁胶囊,枸橼酸铋雷尼替丁,contain
硫酸依替米星注射液,硫酸依替米星,contain
利巴韦林滴鼻液,利巴韦林,contain
乳酸菌素片,乳酸菌素,contain
利巴韦林滴鼻液,利巴韦林,contain
利巴韦林注射液,利巴韦林,contain
酮康唑,酮康唑,contain
色甘酸钠滴眼液,色甘酸钠,contain
氢溴酸右美沙芬口服液,氢溴酸右美沙芬,contain
鱼腥草素钠片,鱼腥草素钠,contain
五氟利多片,五氟利多,contain
盐酸甲氯芬酯胶囊,甲氯芬酯,contain
羟乙基淀粉20氯化钠注射液,氯化钠,contain
利巴韦林含片,利巴韦林,contain
盐酸左氧氟沙星胶囊,左氧氟沙星,contain
盐酸左氧氟沙星胶囊,左氧氟沙星,contain
尼莫地平分散片,尼莫地平,contain
西地磷酸苯丙哌林泡腾片,西地磷酸苯丙哌林,contain
注射用盐酸左氧氟沙星,左氧氟沙星,contain
克拉霉素干混悬剂,克拉霉素,contain
磷酸苯丙哌林缓释片,磷酸苯丙哌林,contain
美敏伪麻口服溶液,氢溴酸右美沙芬,contain
尼美舒利胶囊,尼美舒利,contain
小牛血去蛋白提取物注射液,小牛血去蛋白提取物,contain
灵孢多糖注射液,灵孢多糖,contain
注射用氨苄西林钠舒巴坦钠,舒巴坦钠,contain
胶体果胶铋胶囊,胶体果胶铋,contain
葡萄糖酸亚铁片,葡萄糖酸亚铁,contain
小牛血去蛋白提取物注射液,小牛血去蛋白提取物,contain
注射用七叶皂苷钠,七叶皂苷钠,contain
盐酸胺碘酮片,盐酸胺碘酮,contain
泮托拉唑钠肠溶片,泮托拉唑钠肠溶,contain
盐酸西替利嗪胶囊,盐酸西替利嗪,contain
甲磺酸左旋氧氟沙星片,甲磺酸左旋氧氟沙星,contain
亚叶酸钙胶囊,亚叶酸钙,contain
卡巴匹林钙颗粒,卡巴匹林钙,contain
萘普生分散片,萘普生,contain
乳酸左氧氟沙星注射液,乳酸左氧氟沙星,contain
盐酸尼卡地平氯化钠注射液,尼卡地平,contain
酚麻美敏胶囊,伪麻黄碱,contain
乌拉地尔注射液,乌拉地尔,contain
天麻素片,天麻素,contain
尼莫地平胶囊,尼莫地平,contain
盐酸曲马多注射液,盐酸曲马多,contain
注射用转移因子,转移因子,contain
转移因子口服液,转移因子,contain
萘普生钠片,萘普生,contain
无极膏,无极膏,contain
咪唑斯汀缓释片,咪唑斯汀,contain
注射用盐酸丁卡因,盐酸丁卡因,contain
卡维地洛,卡维地洛,contain
注射用利巴韦林,利巴韦林,contain
克拉霉素干混悬剂,克拉霉素,contain
青霉素V钾颗粒,青霉素V钾,contain
口服补液盐溶液,碳酸氢钠,contain
注射用甘氨双唑钠,甘氨双唑钠,contain
亚硫酸氢钠甲萘醌注射液,亚硫酸氢钠甲萘醌,contain
注射用对氨基水杨酸钠,对氨基水杨酸钠,contain
溶菌酶含片,溶菌酶,contain
聚维酮碘栓,聚维酮碘,contain
注射用放线菌素D,放线菌素D,contain
托吡卡胺滴眼液,托吡卡胺,contain
门冬氨酸钾镁注射液,门冬氨酸,contain
奥拉西坦胶囊,奥拉西坦,contain
膦甲酸钠氯化钠注射液,膦甲酸钠,contain
注射用氨苄西林钠舒巴坦钠,舒巴坦钠,contain
硫酸西索米星氯化钠注射液,氯化钠,contain
碳酸钙咀嚼片,碳酸钙,contain
奥硝唑胶囊,奥硝唑,contain
氯沙坦钾片,氯沙坦钾,contain
注射用苦参碱,苦参碱,contain
盐酸丁丙诺啡舌下片,盐酸丁丙诺啡,contain
注射用苦参碱,苦参碱,contain
盐酸氨溴索氯化钠注射液,盐酸氨溴索,contain
咪喹莫特乳膏,咪喹莫特,contain
注射用头孢拉定,头孢拉定,contain
替加氟注射液,替加氟,contain
依诺沙星片,依诺沙星,contain
荧光素钠注射液,荧光素钠,contain
注射用盐酸大观霉素,盐酸大观霉素,contain
利巴韦林葡萄糖注射液,利巴韦林葡萄糖,contain
注射用顺铂,顺铂,contain
门冬氨酸钾镁片,门冬氨酸,contain
利福昔明干混悬剂,利福昔明,contain
葡萄糖酸依诺沙星注射液,葡萄糖酸依诺沙星,contain
双氯芬酸二乙胺凝胶,双氯芬酸二乙胺,contain
青霉素V钾颗粒,青霉素V钾,contain
肠内营养乳剂（TPF-T）,肠内营养乳（TPF-T）,contain
那格列奈,那格列奈,contain
美扑伪麻颗粒,马来酸氯苯那敏,contain
甲钴胺,甲钴胺,contain
甲磺酸二氢麦角碱缓释胶囊,甲磺酸二氢麦角碱,contain
磷酸苯丙哌林缓释片,磷酸苯丙哌林,contain
氟康唑颗粒剂,氟康唑,contain
那格列奈,那格列奈,contain
注射用头孢地秦钠,头孢地秦钠,contain
头孢丙烯片,头孢丙烯,contain
维生素E胶丸（天然型）,维生素E（天然型）,contain
盐酸雷尼替丁注射液,雷尼替丁,contain
注射用氨苄西林钠氯唑西林钠,氨苄西林,contain
注射用生长抑素,生长抑素,contain
注射用氨苄西林钠氯唑西林钠,氨苄西林,contain
注射用氯诺昔康,氯诺昔康,contain
硫酸西索米星注射液,硫酸西索米星,contain
输血用枸橼酸钠注射液,枸橼酸钠,contain
硫酸镁注射液,硫酸镁,contain
维生素C泡腾片,维生素C,contain
盐酸雷尼替丁注射液,雷尼替丁,contain
输血用枸橼酸钠注射液,枸橼酸钠,contain
烟酸占替诺注射液,烟酸占替诺,contain
门冬氨酸洛美沙星注射液,门冬氨酸,contain
硝酸毛果芸香碱滴眼液,硝酸毛果芸香碱,contain
盐酸普萘洛尔片,盐酸普萘洛尔,contain
酒石酸唑吡坦片,酒石酸唑吡坦,contain
盐酸胺碘酮注射液,盐酸胺碘酮,contain
诺氟沙星滴眼液,诺氟沙星,contain
盐酸克林霉素注射液,盐酸克林霉素,contain
磷酸苯丙哌林胶囊,磷酸苯丙哌林,contain
输血用枸橼酸钠注射液,枸橼酸钠,contain
普罗雌烯阴道胶丸,普罗雌烯,contain
替硝唑注射液,替硝唑,contain
利巴韦林葡萄糖注射液,利巴韦林葡萄糖,contain
聚维酮碘栓,聚维酮碘,contain
盐酸精氨酸注射液,盐酸精氨酸,contain
注射用尼麦角林,尼麦角林,contain
牡蛎碳酸钙泡腾片,牡蛎碳酸钙,contain
角鲨烯胶丸,角鲨烯,contain
依诺沙星片,依诺沙星,contain
龙胆碳酸氢钠片,龙胆粉,contain
盐酸安非他酮片,盐酸安非他酮,contain
富马酸酮替芬分散片,富马酸酮替芬,contain
卡巴匹林钙颗粒,卡巴匹林钙,contain
注射用盐酸精氨酸,盐酸精氨酸,contain
盐酸伊托必利颗粒,盐酸伊托必利,contain
吲达帕胺缓释胶囊,吲达帕胺,contain
苦参碱注射液,苦参碱,contain
重酒石酸长春瑞滨注射液,重酒石酸长春瑞滨,contain
注射用盐酸精氨酸,盐酸精氨酸,contain
注射用多西环素,多西环素,contain
酮洛芬缓释片,酮洛芬,contain
加巴喷丁片,加巴喷丁,contain
注射用甲磺酸二氢麦角碱,甲磺酸二氢麦角碱,contain
注射用葡醛酸钠,葡醛酸钠,contain
牡蛎碳酸钙胶囊,牡蛎碳酸钙,contain
注射用头孢匹胺钠,头孢匹胺钠,contain
注射用氨苄西林钠舒巴坦钠,舒巴坦钠,contain
注射用头孢西丁钠,头孢西丁钠,contain
磷酸川芎嗪注射液,磷酸川芎嗪,contain
注射用棓丙酯,棓丙酯,contain
替加氟注射液,替加氟,contain
氧化锌硫软膏,氧化锌硫,contain
愈创甘油醚片,愈创甘油醚,contain
注射用棓丙酯,棓丙酯,contain
盐酸美他环素片,盐酸美他环素,contain
色甘酸钠滴眼液,色甘酸钠,contain
盐酸雷莫司琼注射液,盐酸雷莫司琼,contain
乳酸左氧氟沙星注射液,乳酸左氧氟沙星,contain
羟丁酸钠注射液,羟丁酸钠,contain
乳酸环丙沙星滴眼液,乳酸环丙沙星,contain
西咪替丁片,西咪替丁,contain
白芍总苷胶囊,白芍总苷,contain
盐酸司他斯汀片,盐酸司他斯汀,contain
维生素B6片,维生素B6,contain
注射用头孢匹胺钠,头孢匹胺钠,contain
注射用阿魏酸钠,阿魏酸钠,contain
碳酸利多卡因注射液,碳酸利多卡因,contain
羟甲烟胺片,羟甲烟胺,contain
开塞露（含甘油）,开塞露（甘油）,contain
注射用头孢匹胺钠,头孢匹胺钠,contain
无极膏,无极膏,contain
克霉唑阴道片,克霉唑,contain
硫酸奈替米星注射液,硫酸奈替米星,contain
输血用复方枸橼酸钠注射液,枸橼酸钠,contain
注射用磷酸肌酸钠,磷酸肌酸钠,contain
注射用卡络磺钠,卡络磺钠,contain
盐酸可乐定片,盐酸可乐定,contain
注射用胰激肽原酶,胰激肽原酶,contain
克霉唑阴道片,克霉唑,contain
复方对乙酰氨基酚片（Ⅱ）,咖啡因,contain
盐酸特比萘芬乳膏,盐酸特比萘芬,contain
注射用尼麦角林,尼麦角林,contain
盐酸消旋山莨菪碱注射液,消旋山莨菪碱,contain
注射用达卡巴嗪,达卡巴嗪,contain
注射用盐酸去甲万古霉素,盐酸去甲万古霉素,contain
缩合葡萄糖氯化钠注射液,氯化钠,contain
注射用卡络磺钠,卡络磺钠,contain
盐酸消旋山莨菪碱注射液,消旋山莨菪碱,contain
注射用单磷酸阿糖腺苷,单磷酸阿糖腺苷,contain
维生素C片,维生素C,contain
三磷酸胞苷二钠注射液,三磷酸胞苷二钠,contain
三磷酸胞苷二钠注射液,三磷酸胞苷二钠,contain
曲安奈德益康唑乳膏,曲安奈德益康唑,contain
葡萄糖酸锌颗粒,葡萄糖酸锌,contain
双氯芬酸钠栓,双氯芬酸钠,contain
乳酸左氧氟沙星片,乳酸左氧氟沙星,contain
硫酸软骨素滴眼液,硫酸骨素,contain
注射用福莫司汀,福莫司汀,contain
门冬氨酸洛美沙星葡萄糖注射液,洛美沙星,contain
三磷酸胞苷二钠注射液,三磷酸胞苷二钠,contain
门冬氨酸洛美沙星葡萄糖注射液,门冬氨酸,contain
注射用生长抑素,生长抑素,contain
注射用吗替麦考酚酯,吗替麦考酚酯,contain
酒石酸美托洛尔注射液,酒石酸美托洛尔,contain
盐酸美他环素胶囊,盐酸美他环素,contain
注射用硫酸头孢匹罗,硫酸头孢匹罗,contain
脂溶性维生素注射液（Ⅱ）,脂溶性维生素（Ⅱ）,contain
注射用三磷酸腺苷二钠,三磷酸腺苷二钠,contain
注射用盐酸林可霉素,盐酸林可霉素,contain
注射用头孢唑肟钠,头孢唑肟钠,contain
注射用丙氨酰谷氨酰胺,丙氨酰谷氨酰胺,contain
阿昔莫司分散片,阿昔莫司,contain
羟丙甲纤维素滴眼液,羟丙甲纤维素,contain
厄贝沙坦分散片,厄贝沙坦,contain
泮托拉唑钠肠溶胶囊,泮托拉唑钠肠溶,contain
维生素B6片,维生素B6,contain
克霉唑栓,克霉唑,contain
维生素C泡腾片,维生素C,contain
氯喹那多-普罗雌烯阴道片,普罗雌烯,contain
罗红霉素胶囊,罗红霉素,contain
硝酸毛果芸香碱滴眼液,硝酸毛果芸香碱,contain
注射用亮菌甲素,亮菌甲素,contain
注射用三磷酸腺苷二钠,三磷酸腺苷二钠,contain
福辛普利钠片,福辛普利钠,contain
罗红霉素胶囊,罗红霉素,contain
注射用替卡西林钠克拉维酸钾,替卡西林钠,contain
头孢羟氨苄胶囊,头孢羟氨苄,contain
去甲斑蝥酸钠注射液,去甲斑蝥酸钠,contain
去甲斑蝥酸钠注射液,去甲斑蝥酸钠,contain
维磷葡钙片,维磷葡钙,contain
注射用头孢硫脒,头孢硫脒,contain
注射用硫普罗宁,硫普罗宁,contain
克拉霉素胶囊,克拉霉素,contain
聚明胶肽注射液,聚明胶肽,contain
吲达帕胺片,吲达帕胺,contain
豆腐果苷片,豆腐果苷,contain
注射用维库溴铵,维库溴铵,contain
注射用头孢哌酮钠舒巴坦钠（2:1）,头孢哌酮钠舒巴坦钠（2:1）,contain
盐酸特比萘芬乳膏,盐酸特比萘芬,contain
熊去氧胆酸片,熊去氧胆酸,contain
萘敏维滴眼液,马来酸氯苯那敏,contain
盐酸二甲双胍肠溶胶囊,盐酸二甲双胍肠溶,contain
盐酸克林霉素注射液,盐酸克林霉素,contain
藻酸双酯钠注射液,藻酸双酯钠,contain
氢溴酸右美沙芬片,氢溴酸右美沙芬,contain
克拉霉素胶囊,克拉霉素,contain
尿素乳膏,尿素,contain
克林霉素甲硝唑搽剂,甲硝唑,contain
注射用吗替麦考酚酯,吗替麦考酚酯,contain
依诺沙星滴眼液,依诺沙星,contain
维丙胺注射液,维丙胺,contain
羟乙基淀粉130/0.4氯化钠注射液,羟乙基淀粉,contain
门冬氨酸洛美沙星注射液,门冬氨酸,contain
依托泊苷注射液,依托泊苷,contain
色甘酸钠滴眼液,色甘酸钠,contain
门冬氨酸洛美沙星注射液,门冬氨酸,contain
注射用胸腺五肽,胸腺五肽,contain
盐酸萘甲唑啉滴鼻液,盐酸萘甲唑啉,contain
头孢克肟颗粒,头孢克肟,contain
吸入用七氟烷,用七氟烷,contain
亚硒酸钠片,亚硒酸钠,contain
甲芬那酸片,甲芬那酸,contain
盐酸苯乙双胍片,盐酸苯乙双胍,contain
磷霉素钙甲氧苄啶胶囊,磷霉素,contain
萘敏维滴眼液,马来酸氯苯那敏,contain
马洛替酯片,马洛替酯,contain
注射用头孢替唑钠,头孢替唑钠,contain
氯磺丙脲片,氯磺丙脲,contain
维生素D2,维生素D2,contain
盐酸肾上腺素注射液,盐酸肾上腺素,contain
维生素C丸,维生素C,contain
卡托普利片,卡托普利,contain
盐酸倍他司汀片,盐酸倍他司汀,contain
尼群地平,尼群地平,contain
盐酸地尔硫卓缓释片,盐酸地尔硫卓,contain
氯噻酮片,氯噻酮,contain
乳酸钠注射液,乳酸钠,contain
棕榈氯霉素（B型）片,棕榈氯霉素（B型）,contain
注射用氨苄西林钠,氨苄西林,contain
吗啡阿托品注射液,吗啡,contain
鲨肝醇片,鲨肝醇,contain
注射用环磷酰胺,环磷酰胺,contain
盐酸可乐定片,盐酸可乐定,contain
愈美甲麻敏糖浆,美沙芬,contain
磷霉素钙甲氧苄啶胶囊,甲氧苄啶,contain
磷霉素钙片,磷霉素,contain
甲溴贝那替秦片,甲溴贝那替秦,contain
维胺酯胶囊,维胺酯,contain
色甘酸钠滴鼻液,色甘酸钠,contain
维D2磷酸氢钙片,维生素D3,contain
角鲨烯胶丸,角鲨烯,contain
三维鱼肝油乳,三维鱼肝油乳,contain
注射用抗乙肝免疫核糖核酸,抗乙肝免疫核糖核酸,contain
盐酸曲吡那敏片,盐酸曲吡那敏,contain
氯霉素眼膏,氯霉素,contain
盐酸美他环素片,盐酸美他环素,contain
樟脑薄荷柳酯乳膏,樟脑,contain
注射用头孢拉定,头孢拉定,contain
水杨酸苯甲酸松油搽剂,苯甲酸松油,contain
羟甲香豆素片,羟甲香豆素,contain
愈酚维林片,愈创木酚甘油醚,contain
愈美甲麻敏糖浆,愈创木酚甘油醚,contain
小儿硫酸亚铁糖浆,枸橼酸,contain
盐酸托哌酮胶囊,盐酸托哌酮,contain
米格来宁片,咖啡因,contain
四环素软膏,四环素,contain
米格来宁片,安替比林,contain
氢化可的松注射液,氢化可的松,contain
氯氮卓片,氯氮卓,contain
硫酸亚铁缓释片,枸橼酸,contain
胰岛素注射液,胰岛素,contain
胰岛素注射液,胰岛素,contain
甲硝唑阴道泡腾片,甲硝唑,contain
秋水仙碱片,秋水仙碱,contain
盐酸金刚烷胺胶囊,盐酸金刚烷胺,contain
益多酯片,益多酯,contain
盐酸金刚烷胺胶囊,盐酸金刚烷胺,contain
头风痛丸,头风痛,contain
萘普生片,萘普生,contain
双氯芬酸钠肠溶片,双氯芬酸钠肠溶,contain
氢化可的松注射液,氢化可的松,contain
盐酸氯胺酮注射液,盐酸氯胺酮,contain
复方吡拉西坦脑蛋白水解物片,吡拉西坦脑蛋白,contain
维D2磷酸氢钙片,磷酸氢钙,contain
盐酸美司坦片,盐酸美司坦,contain
盐酸麻黄碱滴鼻液,盐酸麻黄碱,contain
小儿硫酸亚铁糖浆,枸橼酸,contain
复方五味子片,五味子,contain
双氯芬酸钠片,双氯芬酸钠,contain
小儿氨酚匹林咖啡因片,咖啡因,contain
磷霉素钙胶囊,磷霉素,contain
磷霉素钙片,磷霉素,contain
盐酸美司坦片,盐酸美司坦,contain
注射用过氧化碳酰胺,过氧化碳酰胺,contain
盐酸海索那林片,盐酸海索那林,contain
注射用对氨基水杨酸钠,对氨基水杨酸钠,contain
右旋糖酐40葡萄糖注射液,右旋糖酐35,contain
鱼石脂软膏,鱼石脂,contain
注射用头孢噻肟钠,头孢噻肟钠,contain
盐酸精氨酸注射液,盐酸精氨酸,contain
硫酸软骨素片,硫酸骨素,contain
葡萄糖酸钙片,葡萄糖酸钙,contain
硫软膏,硫,contain
注射用头孢拉定,头孢拉定,contain
克霉唑软膏,克霉唑,contain
注射用头孢唑林钠,头孢唑林钠,contain
甲芬那酸片,甲芬那酸,contain
盐酸乙胺丁醇片,盐酸乙胺丁醇,contain
注射用过氧化碳酰胺,过氧化碳酰胺,contain
曲安奈德新霉素贴片,曲安奈德新霉素贴,contain
喷托维林氯化铵糖浆,枸橼酸喷托维林,contain
